Jahr;M_G;F_G;M_20;F_20;M_65;F_65
1981.00;72.40;79.20;53.70;60.10;14.30;18.20
1985.00;73.50;80.20;54.70;61.00;14.90;19.00
1990.00;74.00;80.80;55.00;61.60;15.30;19.40
1995.00;75.30;81.80;56.20;62.40;16.10;20.20
2000.00;76.90;82.60;57.70;63.20;17.00;20.70
2005.00;78.70;83.90;59.40;64.30;18.10;21.60
2010.00;80.20;84.60;60.70;65.10;18.90;22.20
2014.00;81.00;85.20;61.50;65.60;19.40;22.40
2015.00;80.70;84.90;61.30;65.30;19.20;22.20
2016.00;81.50;85.30;61.90;65.70;19.80;22.60
2017.00;81.40;85.40;61.90;65.80;19.70;22.50
2018.00;81.70;85.40;62.20;65.80;19.90;22.70
2019.00;81.90;85.60;62.40;66.00;20.00;22.70
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
