Kanton;bestand;tot;proz
zh;1520968;11305;0.74
be;1034977;9667;0.93
lu;409557;3104;0.76
ur;36433;307;0.84
sz;159165;1107;0.70
ow;37841;279;0.74
nw;43223;336;0.78
gl;40403;416;1.03
zg;126837;791;0.62
fr;318714;2099;0.66
so;273194;2311;0.85
bs;194766;2063;1.06
bl;288132;2481;0.86
sh;81991;809;0.99
ar;55234;484;0.88
ai;16145;134;0.83
sg;507697;4047;0.80
gr;198379;1748;0.88
ag;678207;4997;0.74
tg;276472;2085;0.75
ti;353343;3238;0.92
vd;799145;5454;0.68
vs;343955;2898;0.84
ne;176850;1585;0.90
ge;499480;3369;0.67
ju;73419;666;0.91
